Stations,Latitude,Longitude,Taxa-Richness,Simpson_1-D,Shannon_H,Pielu'sEvenness_e^H/S
ST-01,91.94472762,21.74021827,88.00000000,0.98040000,4.20100000,0.75870000
ST-02,91.94515154,21.72218708,71.00000000,0.98170000,4.11900000,0.86630000
ST-03,91.94838377,21.70630728,81.00000000,0.98280000,4.22100000,0.84040000
ST-04,91.95444892,21.69044340,86.00000000,0.98170000,4.23000000,0.79880000
ST-05,91.97989298,21.68622547,100.00000000,0.98590000,4.43400000,0.84230000
ST-06,91.95958477,21.67331454,70.00000000,0.98040000,4.09100000,0.85460000
ST-07,91.96917446,21.66172992,95.00000000,0.98460000,4.34600000,0.81220000
ST-08,91.97722696,21.65319114,86.00000000,0.98090000,4.19900000,0.77430000
ST-09,92.01615671,21.65839719,86.00000000,0.98340000,4.27600000,0.83630000
ST-10,91.98724390,21.64296065,96.00000000,0.98410000,4.34400000,0.80230000
ST-11,91.98793784,21.63325586,97.00000000,0.98460000,4.35700000,0.80460000
ST-12,91.99608970,21.62656177,85.00000000,0.98290000,4.25200000,0.82650000
ST-13,91.99425974,21.61323893,83.00000000,0.98410000,4.27800000,0.86900000
ST-14,92.00374235,21.61060957,110.00000000,0.98690000,4.51700000,0.83200000
ST-15,91.98608372,21.59569286,112.00000000,0.98710000,4.54900000,0.84410000
ST-16,92.00187314,21.59825590,108.00000000,0.98600000,4.49000000,0.82510000
ST-17,92.01652763,21.61422603,110.00000000,0.98490000,4.45500000,0.78270000
ST-18,92.01419623,21.63340644,70.00000000,0.98240000,4.13900000,0.89660000
ST-19,91.98546388,21.58815029,104.00000000,0.98320000,4.40000000,0.78290000
ST-20,91.99662994,21.58954524,119.00000000,0.98860000,4.63400000,0.86510000
ST-21,91.98702938,21.57559880,95.00000000,0.98560000,4.37800000,0.83870000
ST-22,91.98588609,21.56308910,105.00000000,0.98630000,4.46900000,0.83150000
ST-23,91.98841036,21.55055688,96.00000000,0.98620000,4.41000000,0.85710000
ST-24,91.98829358,21.54253569,95.00000000,0.98450000,4.36400000,0.82730000
ST-25,91.98118790,21.53028581,113.00000000,0.98710000,4.53600000,0.82570000
ST-26,91.99463568,21.53223282,107.00000000,0.98730000,4.51500000,0.85440000
ST-27,91.98203232,21.51634676,90.00000000,0.98600000,4.37800000,0.88550000
ST-28,91.99812501,21.51675058,98.00000000,0.98660000,4.45000000,0.87380000
ST-29,92.00641260,21.50187147,97.00000000,0.98640000,4.42300000,0.85900000
ST-30,91.99503993,21.50900065,105.00000000,0.98700000,4.48200000,0.84190000
ST-31,91.89826442,21.52014086,104.00000000,0.98710000,4.48800000,0.85560000
ST-32,91.90572044,21.50131984,84.00000000,0.98590000,4.34200000,0.91520000
ST-33,91.88611650,21.50941689,83.00000000,0.98430000,4.27900000,0.86960000
ST-34,91.96791179,21.49825275,95.00000000,0.98480000,4.35100000,0.81660000
ST-35,91.98292093,21.50024801,97.00000000,0.98600000,4.41000000,0.84850000
ST-36,91.93438487,21.49214811,111.00000000,0.98710000,4.51500000,0.82290000
ST-37,91.91826092,21.49470851,113.00000000,0.98710000,4.52500000,0.81670000
ST-38,91.95173313,21.48374299,103.00000000,0.98470000,4.40900000,0.79800000
ST-39,91.96908131,21.48827745,78.00000000,0.98040000,4.14000000,0.80540000
ST-40,91.90649299,21.49043731,102.00000000,0.98540000,4.41800000,0.81320000
ST-41,91.98260724,21.48700187,96.00000000,0.98640000,4.42200000,0.86750000
ST-42,91.94635124,21.47908584,108.00000000,0.98560000,4.46500000,0.80470000
ST-43,91.97258995,21.47957117,80.00000000,0.98180000,4.18600000,0.82210000
ST-44,91.90144275,21.47340392,115.00000000,0.98870000,4.60100000,0.86620000
ST-45,91.95105841,21.47046717,114.00000000,0.98820000,4.57200000,0.84820000
ST-46,91.91099400,21.46941320,106.00000000,0.98570000,4.45900000,0.81530000
ST-47,91.93296634,21.46621198,105.00000000,0.98720000,4.49500000,0.85340000
ST-48,91.92054524,21.46379265,93.00000000,0.98700000,4.42800000,0.90070000
ST-49,91.92304741,21.46882205,107.00000000,0.98790000,4.53600000,0.87230000
ST-50,91.94430667,21.45578566,73.00000000,0.98380000,4.19400000,0.90840000
ST-51,91.96835843,21.45380543,97.00000000,0.98300000,4.33700000,0.78820000
ST-52,91.93029152,21.47975256,93.00000000,0.98590000,4.38500000,0.86260000
ST-53,91.93730871,21.48065949,85.00000000,0.98260000,4.22600000,0.80530000
ST-54,91.93243561,21.45852887,88.00000000,0.98470000,4.32400000,0.85750000
ST-55,91.94042757,21.47104578,115.00000000,0.98750000,4.54200000,0.81640000
ST-56,91.94042756,21.47104577,96.00000000,0.98340000,4.31500000,0.77930000
