Stations,Latitude,Longitude,Taxa-Richness,Simpson_1-D,Shannon_H,Pielu'sEvenness_e^H/S,Compartments
ST-01,91.94472762,21.74021827,88,0.9804,4.201,0.7587,1
ST-02,91.94515154,21.72218708,71,0.9817,4.119,0.8663,2
ST-03,91.94838377,21.70630728,81,0.9828,4.221,0.8404,3
ST-04,91.95444892,21.6904434,86,0.9817,4.23,0.7988,4
ST-05,91.97989298,21.68622547,100,0.9859,4.434,0.8423,5
ST-06,91.95958477,21.67331454,70,0.9804,4.091,0.8546,6
ST-07,91.96917446,21.66172992,95,0.9846,4.346,0.8122,7
ST-08,91.97722696,21.65319114,86,0.9809,4.199,0.7743,8
ST-09,92.01615671,21.65839719,86,0.9834,4.276,0.8363,9
ST-10,91.9872439,21.64296065,96,0.9841,4.344,0.8023,10
ST-11,91.98793784,21.63325586,97,0.9846,4.357,0.8046,11
ST-12,91.9960897,21.62656177,85,0.9829,4.252,0.8265,12
ST-13,91.99425974,21.61323893,83,0.9841,4.278,0.869,13
ST-14,92.00374235,21.61060957,110,0.9869,4.517,0.832,14
ST-15,91.98608372,21.59569286,112,0.9871,4.549,0.8441,15
ST-16,92.00187314,21.5982559,108,0.986,4.49,0.8251,16
ST-17,92.01652763,21.61422603,110,0.9849,4.455,0.7827,17
ST-18,92.01419623,21.63340644,70,0.9824,4.139,0.8966,18
ST-19,91.98546388,21.58815029,104,0.9832,4.4,0.7829,19
ST-20,91.99662994,21.58954524,119,0.9886,4.634,0.8651,20
ST-21,91.98702938,21.5755988,95,0.9856,4.378,0.8387,21
ST-22,91.98588609,21.5630891,105,0.9863,4.469,0.8315,22
ST-23,91.98841036,21.55055688,96,0.9862,4.41,0.8571,23
ST-24,91.98829358,21.54253569,95,0.9845,4.364,0.8273,24
ST-25,91.9811879,21.53028581,113,0.9871,4.536,0.8257,25
ST-26,91.99463568,21.53223282,107,0.9873,4.515,0.8544,26
ST-27,91.98203232,21.51634676,90,0.986,4.378,0.8855,27
ST-28,91.99812501,21.51675058,98,0.9866,4.45,0.8738,28
ST-29,92.0064126,21.50187147,97,0.9864,4.423,0.859,29
ST-30,91.99503993,21.50900065,105,0.987,4.482,0.8419,30
ST-31,91.89826442,21.52014086,104,0.9871,4.488,0.8556,31
ST-32,91.90572044,21.50131984,84,0.9859,4.342,0.9152,32
ST-33,91.8861165,21.50941689,83,0.9843,4.279,0.8696,33
ST-34,91.96791179,21.49825275,95,0.9848,4.351,0.8166,34
ST-35,91.98292093,21.50024801,97,0.986,4.41,0.8485,35
ST-36,91.93438487,21.49214811,111,0.9871,4.515,0.8229,36
ST-37,91.91826092,21.49470851,113,0.9871,4.525,0.8167,37
ST-38,91.95173313,21.48374299,103,0.9847,4.409,0.798,38
ST-39,91.96908131,21.48827745,78,0.9804,4.14,0.8054,39
ST-40,91.90649299,21.49043731,102,0.9854,4.418,0.8132,40
ST-41,91.98260724,21.48700187,96,0.9864,4.422,0.8675,41
ST-42,91.94635124,21.47908584,108,0.9856,4.465,0.8047,42
ST-43,91.97258995,21.47957117,80,0.9818,4.186,0.8221,43
ST-44,91.90144275,21.47340392,115,0.9887,4.601,0.8662,44
ST-45,91.95105841,21.47046717,114,0.9882,4.572,0.8482,45
ST-46,91.910994,21.4694132,106,0.9857,4.459,0.8153,46
ST-47,91.93296634,21.46621198,105,0.9872,4.495,0.8534,47
ST-48,91.92054524,21.46379265,93,0.987,4.428,0.9007,48
ST-49,91.92304741,21.46882205,107,0.9879,4.536,0.8723,49
ST-50,91.94430667,21.45578566,73,0.9838,4.194,0.9084,50
ST-51,91.96835843,21.45380543,97,0.983,4.337,0.7882,51
ST-52,91.93029152,21.47975256,93,0.9859,4.385,0.8626,52
ST-53,91.93730871,21.48065949,85,0.9826,4.226,0.8053,53
ST-54,91.93243561,21.45852887,88,0.9847,4.324,0.8575,54
ST-55,91.94042757,21.47104578,115,0.9875,4.542,0.8164,55
ST-56,91.94042756,21.47104577,96,0.9834,4.315,0.7793,56
