Stations,Latitude,Longitude,Taxa-Richness,Simpson_1-D,Shannon_H,Pielu'sEvenness_e^H/S,Compartments,M_Distance,p_value,Status
ST-01,91.94472762,21.74021827,88,0.9804,4.201,0.7587,1,7.717645891887116,0.10248624038540233,Normal
ST-02,91.94515154,21.72218708,71,0.9817,4.119,0.8663,2,10.171556348745758,0.03763489606823289,Degraded / Outlier
ST-03,91.94838377,21.70630728,81,0.9828,4.221,0.8404,3,1.580896754373913,0.8122214139976922,Normal
ST-04,91.95444892,21.6904434,86,0.9817,4.23,0.7988,4,3.861260946454222,0.42510763012353703,Normal
ST-05,91.97989298,21.68622547,100,0.9859,4.434,0.8423,5,1.168845878906356,0.8832008204833046,Normal
ST-06,91.95958477,21.67331454,70,0.9804,4.091,0.8546,6,12.441618231849802,0.014352342590407519,Degraded / Outlier
ST-07,91.96917446,21.66172992,95,0.9846,4.346,0.8122,7,3.261435692989771,0.5150655565680589,Normal
ST-08,91.97722696,21.65319114,86,0.9809,4.199,0.7743,8,5.0109449947370255,0.28617631293877777,Normal
ST-09,92.01615671,21.65839719,86,0.9834,4.276,0.8363,9,1.564492039345847,0.8151593674485689,Normal
ST-10,91.9872439,21.64296065,96,0.9841,4.344,0.8023,10,1.8407413806395219,0.7650206477167707,Normal
ST-11,91.98793784,21.63325586,97,0.9846,4.357,0.8046,11,3.428338970226804,0.4888578743796913,Normal
ST-12,91.9960897,21.62656177,85,0.9829,4.252,0.8265,12,1.3958767485612085,0.8449113400301415,Normal
ST-13,91.99425974,21.61323893,83,0.9841,4.278,0.869,13,2.0698604075275817,0.7229113464481849,Normal
ST-14,92.00374235,21.61060957,110,0.9869,4.517,0.832,14,1.3682391593811876,0.8496959859405177,Normal
ST-15,91.98608372,21.59569286,112,0.9871,4.549,0.8441,15,4.888531787212557,0.29892723239082586,Normal
ST-16,92.00187314,21.5982559,108,0.986,4.49,0.8251,16,2.652299537656533,0.6175870011841387,Normal
ST-17,92.01652763,21.61422603,110,0.9849,4.455,0.7827,17,4.215905512790951,0.37757406734527943,Normal
ST-18,92.01419623,21.63340644,70,0.9824,4.139,0.8966,18,12.882667140783546,0.011863563174017266,Degraded / Outlier
ST-19,91.98546388,21.58815029,104,0.9832,4.4,0.7829,19,13.016539790899845,0.011195259718900896,Hotspot / Outlier
ST-20,91.99662994,21.58954524,119,0.9886,4.634,0.8651,20,11.705251730885447,0.01968311832172398,Hotspot / Outlier
ST-21,91.98702938,21.5755988,95,0.9856,4.378,0.8387,21,2.7919680497950847,0.5932199654588418,Normal
ST-22,91.98588609,21.5630891,105,0.9863,4.469,0.8315,22,0.5123177539102546,0.9722908192451647,Normal
ST-23,91.98841036,21.55055688,96,0.9862,4.41,0.8571,23,1.8198017207070745,0.7688575822855708,Normal
ST-24,91.98829358,21.54253569,95,0.9845,4.364,0.8273,24,1.4284568010506933,0.8392343143488641,Normal
ST-25,91.9811879,21.53028581,113,0.9871,4.536,0.8257,25,2.909452750516863,0.5730908196386498,Normal
ST-26,91.99463568,21.53223282,107,0.9873,4.515,0.8544,26,1.3710998841841522,0.8492021168419785,Normal
ST-27,91.98203232,21.51634676,90,0.986,4.378,0.8855,27,3.5592277196580184,0.4689299691869362,Normal
ST-28,91.99812501,21.51675058,98,0.9866,4.45,0.8738,28,3.8316587566822986,0.4292674712895107,Normal
ST-29,92.0064126,21.50187147,97,0.9864,4.423,0.859,29,1.850097551623553,0.763305091127772,Normal
ST-30,91.99503993,21.50900065,105,0.987,4.482,0.8419,30,1.5235281061056116,0.8224657462537134,Normal
ST-31,91.89826442,21.52014086,104,0.9871,4.488,0.8556,31,1.0837095295177637,0.8968481835714247,Normal
ST-32,91.90572044,21.50131984,84,0.9859,4.342,0.9152,32,6.344594172420223,0.1748493833764937,Normal
ST-33,91.8861165,21.50941689,83,0.9843,4.279,0.8696,33,2.0055577871024557,0.7347365858500972,Normal
ST-34,91.96791179,21.49825275,95,0.9848,4.351,0.8166,34,3.4423466492356374,0.4866986344018238,Normal
ST-35,91.98292093,21.50024801,97,0.986,4.41,0.8485,35,1.322678676778214,0.8575161802889645,Normal
ST-36,91.93438487,21.49214811,111,0.9871,4.515,0.8229,36,3.5577346682468365,0.4691541327760168,Normal
ST-37,91.91826092,21.49470851,113,0.9871,4.525,0.8167,37,5.155948337426226,0.27166722393170506,Normal
ST-38,91.95173313,21.48374299,103,0.9847,4.409,0.798,38,1.3164370794231672,0.8585806308396401,Normal
ST-39,91.96908131,21.48827745,78,0.9804,4.14,0.8054,39,5.265065109544677,0.2611651073988728,Normal
ST-40,91.90649299,21.49043731,102,0.9854,4.418,0.8132,40,1.1529679372835835,0.8857797595658186,Normal
ST-41,91.98260724,21.48700187,96,0.9864,4.422,0.8675,41,2.1207318628662835,0.7135645848588847,Normal
ST-42,91.94635124,21.47908584,108,0.9856,4.465,0.8047,42,1.5671262185247068,0.8146880506043973,Normal
ST-43,91.97258995,21.47957117,80,0.9818,4.186,0.8221,43,2.268190477973681,0.686566316356477,Normal
ST-44,91.90144275,21.47340392,115,0.9887,4.601,0.8662,44,5.12242764246543,0.27496474941910654,Normal
ST-45,91.95105841,21.47046717,114,0.9882,4.572,0.8482,45,3.854138669662878,0.42610578609079686,Normal
ST-46,91.910994,21.4694132,106,0.9857,4.459,0.8153,46,0.8558403649046052,0.930808966268022,Normal
ST-47,91.93296634,21.46621198,105,0.9872,4.495,0.8534,47,1.0569929892590442,0.901034324924753,Normal
ST-48,91.92054524,21.46379265,93,0.987,4.428,0.9007,48,5.365828007055641,0.25177745017011266,Normal
ST-49,91.92304741,21.46882205,107,0.9879,4.536,0.8723,49,2.7036788823331497,0.6085710089637411,Normal
ST-50,91.94430667,21.45578566,73,0.9838,4.194,0.9084,50,10.071150157064686,0.03924607114571388,Degraded / Outlier
ST-51,91.96835843,21.45380543,97,0.983,4.337,0.7882,51,4.430114061287074,0.3509147599387029,Normal
ST-52,91.93029152,21.47975256,93,0.9859,4.385,0.8626,52,2.137427042528914,0.7104998130977798,Normal
ST-53,91.93730871,21.48065949,85,0.9826,4.226,0.8053,53,4.259994850099056,0.3719613815387981,Normal
ST-54,91.93243561,21.45852887,88,0.9847,4.324,0.8575,54,1.762446940955507,0.7793452591608085,Normal
ST-55,91.94042757,21.47104578,115,0.9875,4.542,0.8164,55,9.008720033519376,0.06088189079064177,Normal
ST-56,91.94042756,21.47104577,96,0.9834,4.315,0.7793,56,4.927593812426936,0.29480783340847516,Normal
